time_ns,transaction,phase,location,vc,detail
2196117.0,front_detect:dma_read,REQ_ROUTER,tile7->tile13,0,plane=0; flits=2
2196119.5,front_detect:dma_read,END_REQ,tile13,,DMA_READ
2215322.5,front_detect:dma_read,BEGIN_RESP,tile13,,DMA_READ
2215325.0,front_detect:dma_read,RESP_ROUTER,tile13->tile7,2,plane=0; flits=76800
2294527.0,front_detect:dma_read,RESP_ROUTER,tile7->tile1,1,plane=0; flits=76800
2373727.0,front_detect:dma_read,END_RESP,tile1,,DMA_READ
2640062.227272727,front_detect:iommu_write,BEGIN_REQ,tile1,,IOMMU_TRANSLATE
2640065.0,front_detect:iommu_write,REQ_ROUTER,tile1->tile7,2,plane=0; flits=2
2640067.5,front_detect:iommu_write,END_REQ,tile7,,IOMMU_TRANSLATE
2640076.5,front_detect:iommu_write,BEGIN_RESP,tile7,,IOMMU_TRANSLATE
2640079.0,front_detect:iommu_write,RESP_ROUTER,tile7->tile1,2,plane=0; flits=1
2640080.5,front_detect:dma_write,BEGIN_REQ,tile1,,DMA_WRITE
2640080.5,front_detect:iommu_write,END_RESP,tile1,,IOMMU_TRANSLATE
2640083.0,front_detect:dma_write,REQ_ROUTER,tile1->tile7,3,plane=0; flits=8192
2648533.0,front_detect:dma_write,REQ_ROUTER,tile7->tile13,1,plane=0; flits=8192
2656981.0,front_detect:dma_write,END_REQ,tile13,,DMA_WRITE
2659032.0,front_detect:dma_write,BEGIN_RESP,tile13,,DMA_WRITE
2659033.0,front_detect:dma_write,RESP_ROUTER,tile13->tile7,3,plane=0; flits=1
2659037.0,front_detect:dma_write,RESP_ROUTER,tile7->tile1,3,plane=0; flits=1
2659038.5,front_detect:dma_write,END_RESP,tile1,,DMA_WRITE
2659038.5,front_detect:irq_raise,BEGIN_REQ,tile1,,IRQ_RAISE
2659041.0,front_detect:irq_raise,REQ_ROUTER,tile1->tile0,1,plane=0; flits=1
2659042.5,front_detect:irq_raise,END_REQ,tile0,,IRQ_RAISE
2659046.5,front_detect:irq_raise,BEGIN_RESP,tile0,,IRQ_RAISE
2659049.0,front_detect:irq_raise,RESP_ROUTER,tile0->tile1,3,plane=0; flits=1
2659050.5,front_detect:irq_deliver,BEGIN_REQ,tile0,,IRQ_DELIVER
2659050.5,front_detect:irq_raise,END_RESP,tile1,,IRQ_RAISE
2659053.0,front_detect:irq_deliver,BEGIN_RESP,tile0,,IRQ_DELIVER
2659053.0,front_detect:irq_deliver,END_REQ,tile0,,IRQ_DELIVER
2659053.0,front_detect:irq_deliver,REQ_LOCAL,tile0,,16 B
2659055.0,bev_fusion:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
2659055.0,front_detect:irq_deliver,END_RESP,tile0,,IRQ_DELIVER
2659055.0,front_detect:irq_deliver,RESP_LOCAL,tile0,,16 B
