time_ns,transaction,phase,location,vc,detail
377667.5909090909,nvdla:iommu_write,BEGIN_REQ,tile1,,IOMMU_TRANSLATE
377669.0,nvdla:iommu_write,REQ_ROUTER,tile1->tile7,2,plane=0; flits=2
377671.5,nvdla:iommu_write,END_REQ,tile7,,IOMMU_TRANSLATE
377680.5,nvdla:iommu_write,BEGIN_RESP,tile7,,IOMMU_TRANSLATE
377683.0,nvdla:iommu_write,RESP_ROUTER,tile7->tile1,2,plane=0; flits=1
377684.5,nvdla:dma_write,BEGIN_REQ,tile1,,DMA_WRITE
377684.5,nvdla:iommu_write,END_RESP,tile1,,IOMMU_TRANSLATE
377687.0,nvdla:dma_write,REQ_ROUTER,tile1->tile7,3,plane=0; flits=4096
377689.5,nlp:iommu_read,BEGIN_RESP,tile7,,IOMMU_TRANSLATE
377691.0,nlp:iommu_read,RESP_ROUTER,tile7->tile8,0,plane=0; flits=1
377695.0,nlp:iommu_read,RESP_ROUTER,tile8->tile14,1,plane=0; flits=1
377699.0,nlp:iommu_read,RESP_ROUTER,tile14->tile20,1,plane=0; flits=1
377703.0,nlp:iommu_read,RESP_ROUTER,tile20->tile26,1,plane=0; flits=1
377704.5,nlp:dma_read,BEGIN_REQ,tile26,,DMA_READ
377704.5,nlp:iommu_read,END_RESP,tile26,,IOMMU_TRANSLATE
377707.0,nlp:dma_read,REQ_ROUTER,tile26->tile27,0,plane=0; flits=2
377711.0,nlp:dma_read,REQ_ROUTER,tile27->tile28,0,plane=0; flits=2
377715.0,nlp:dma_read,REQ_ROUTER,tile28->tile22,0,plane=0; flits=2
377717.5,nlp:dma_read,END_REQ,tile22,,DMA_READ
381913.0,nvdla:dma_write,REQ_ROUTER,tile7->tile13,1,plane=0; flits=4096
385912.5,nlp:dma_read,BEGIN_RESP,tile22,,DMA_READ
385915.0,nlp:dma_read,RESP_ROUTER,tile22->tile21,0,plane=0; flits=32768
386137.0,nvdla:dma_write,END_REQ,tile13,,DMA_WRITE
387164.0,nvdla:dma_write,BEGIN_RESP,tile13,,DMA_WRITE
387165.0,nvdla:dma_write,RESP_ROUTER,tile13->tile7,1,plane=0; flits=1
387169.0,nvdla:dma_write,RESP_ROUTER,tile7->tile1,3,plane=0; flits=1
387170.5,nvdla:dma_write,END_RESP,tile1,,DMA_WRITE
387170.5,nvdla:irq_raise,BEGIN_REQ,tile1,,IRQ_RAISE
387173.0,nvdla:irq_raise,REQ_ROUTER,tile1->tile0,1,plane=0; flits=1
387174.5,nvdla:irq_raise,END_REQ,tile0,,IRQ_RAISE
387178.5,nvdla:irq_raise,BEGIN_RESP,tile0,,IRQ_RAISE
387181.0,nvdla:irq_raise,RESP_ROUTER,tile0->tile1,1,plane=0; flits=1
387182.5,nvdla:irq_deliver,BEGIN_REQ,tile0,,IRQ_DELIVER
387182.5,nvdla:irq_raise,END_RESP,tile1,,IRQ_RAISE
387185.0,nvdla:irq_deliver,BEGIN_RESP,tile0,,IRQ_DELIVER
387185.0,nvdla:irq_deliver,END_REQ,tile0,,IRQ_DELIVER
387185.0,nvdla:irq_deliver,REQ_LOCAL,tile0,,16 B
387187.0,nvdla:irq_deliver,END_RESP,tile0,,IRQ_DELIVER
387187.0,nvdla:irq_deliver,RESP_LOCAL,tile0,,16 B
419709.0,nlp:dma_read,RESP_ROUTER,tile21->tile20,0,plane=0; flits=32768
453503.0,nlp:dma_read,RESP_ROUTER,tile20->tile26,2,plane=0; flits=32768
487295.0,nlp:dma_read,END_RESP,tile26,,DMA_READ
1410590.4545454546,nlp:iommu_write,BEGIN_REQ,tile26,,IOMMU_TRANSLATE
1410593.0,nlp:iommu_write,REQ_ROUTER,tile26->tile25,2,plane=0; flits=2
1410597.0,nlp:iommu_write,REQ_ROUTER,tile25->tile19,1,plane=0; flits=2
1410601.0,nlp:iommu_write,REQ_ROUTER,tile19->tile13,1,plane=0; flits=2
1410605.0,nlp:iommu_write,REQ_ROUTER,tile13->tile7,3,plane=0; flits=2
1410607.5,nlp:iommu_write,END_REQ,tile7,,IOMMU_TRANSLATE
1410616.5,nlp:iommu_write,BEGIN_RESP,tile7,,IOMMU_TRANSLATE
1410619.0,nlp:iommu_write,RESP_ROUTER,tile7->tile8,1,plane=0; flits=1
1410623.0,nlp:iommu_write,RESP_ROUTER,tile8->tile14,2,plane=0; flits=1
1410625.5,vision:iommu_read,BEGIN_RESP,tile7,,IOMMU_TRANSLATE
1410627.0,nlp:iommu_write,RESP_ROUTER,tile14->tile20,2,plane=0; flits=1
1410627.0,vision:iommu_read,RESP_ROUTER,tile7->tile8,2,plane=0; flits=1
1410631.0,nlp:iommu_write,RESP_ROUTER,tile20->tile26,3,plane=0; flits=1
1410631.0,vision:iommu_read,RESP_ROUTER,tile8->tile9,0,plane=0; flits=1
1410632.5,nlp:dma_write,BEGIN_REQ,tile26,,DMA_WRITE
1410632.5,nlp:iommu_write,END_RESP,tile26,,IOMMU_TRANSLATE
1410635.0,nlp:dma_write,REQ_ROUTER,tile26->tile27,1,plane=0; flits=4096
1410635.0,vision:iommu_read,RESP_ROUTER,tile9->tile10,0,plane=0; flits=1
1410639.0,vision:iommu_read,RESP_ROUTER,tile10->tile11,0,plane=0; flits=1
1410643.0,vision:iommu_read,RESP_ROUTER,tile11->tile17,1,plane=0; flits=1
1410647.0,vision:iommu_read,RESP_ROUTER,tile17->tile23,1,plane=0; flits=1
1410648.5,vision:coherence,BEGIN_REQ,tile23,,COHERENCE_PROBE
1410648.5,vision:iommu_read,END_RESP,tile23,,IOMMU_TRANSLATE
1410651.0,vision:coherence,REQ_ROUTER,tile23->tile22,2,plane=0; flits=2
1410655.0,vision:coherence,REQ_ROUTER,tile22->tile21,0,plane=1; flits=2
1410659.0,vision:coherence,REQ_ROUTER,tile21->tile20,0,plane=1; flits=2
1410663.0,vision:coherence,REQ_ROUTER,tile20->tile19,2,plane=0; flits=2
1410667.0,vision:coherence,REQ_ROUTER,tile19->tile13,3,plane=0; flits=2
1410671.0,vision:coherence,REQ_ROUTER,tile13->tile7,1,plane=1; flits=2
1410673.5,vision:coherence,END_REQ,tile7,,COHERENCE_PROBE
1410680.5,vision:coherence,BEGIN_RESP,tile7,,COHERENCE_PROBE
1410683.0,vision:coherence,RESP_ROUTER,tile7->tile8,3,plane=0; flits=1
1410687.0,vision:coherence,RESP_ROUTER,tile8->tile9,1,plane=0; flits=1
1410691.0,vision:coherence,RESP_ROUTER,tile9->tile10,1,plane=0; flits=1
1410695.0,vision:coherence,RESP_ROUTER,tile10->tile11,1,plane=0; flits=1
1410699.0,vision:coherence,RESP_ROUTER,tile11->tile17,2,plane=0; flits=1
1410703.0,vision:coherence,RESP_ROUTER,tile17->tile23,2,plane=0; flits=1
1410704.5,vision:coherence,END_RESP,tile23,,COHERENCE_PROBE
1410704.5,vision:dma_read,BEGIN_REQ,tile23,,DMA_READ
1410707.0,vision:dma_read,REQ_ROUTER,tile23->tile22,3,plane=0; flits=2
1410711.0,vision:dma_read,REQ_ROUTER,tile22->tile21,1,plane=1; flits=2
1410715.0,vision:dma_read,REQ_ROUTER,tile21->tile20,1,plane=1; flits=2
1410719.0,vision:dma_read,REQ_ROUTER,tile20->tile19,3,plane=0; flits=2
1410723.0,vision:dma_read,REQ_ROUTER,tile19->tile25,0,plane=0; flits=2
1410725.5,vision:dma_read,END_REQ,tile25,,DMA_READ
1414861.0,nlp:dma_write,REQ_ROUTER,tile27->tile28,1,plane=0; flits=4096
1418929.5,vision:dma_read,BEGIN_RESP,tile25,,DMA_READ
1418931.0,vision:dma_read,RESP_ROUTER,tile25->tile26,0,plane=0; flits=16384
1419087.0,nlp:dma_write,REQ_ROUTER,tile28->tile22,1,plane=0; flits=4096
1423311.0,nlp:dma_write,END_REQ,tile22,,DMA_WRITE
1424338.0,nlp:dma_write,BEGIN_RESP,tile22,,DMA_WRITE
1424339.0,nlp:dma_write,RESP_ROUTER,tile22->tile21,1,plane=0; flits=1
1424343.0,nlp:dma_write,RESP_ROUTER,tile21->tile20,1,plane=0; flits=1
1424347.0,nlp:dma_write,RESP_ROUTER,tile20->tile26,0,plane=1; flits=1
1424348.5,nlp:dma_write,END_RESP,tile26,,DMA_WRITE
1424348.5,nlp:irq_raise,BEGIN_REQ,tile26,,IRQ_RAISE
1424351.0,nlp:irq_raise,REQ_ROUTER,tile26->tile25,3,plane=0; flits=1
1424355.0,nlp:irq_raise,REQ_ROUTER,tile25->tile24,1,plane=0; flits=1
1424359.0,nlp:irq_raise,REQ_ROUTER,tile24->tile18,1,plane=0; flits=1
1424363.0,nlp:irq_raise,REQ_ROUTER,tile18->tile12,1,plane=0; flits=1
1424367.0,nlp:irq_raise,REQ_ROUTER,tile12->tile6,1,plane=0; flits=1
1424371.0,nlp:irq_raise,REQ_ROUTER,tile6->tile0,1,plane=0; flits=1
1424372.5,nlp:irq_raise,END_REQ,tile0,,IRQ_RAISE
1424376.5,nlp:irq_raise,BEGIN_RESP,tile0,,IRQ_RAISE
1424379.0,nlp:irq_raise,RESP_ROUTER,tile0->tile1,3,plane=0; flits=1
1424383.0,nlp:irq_raise,RESP_ROUTER,tile1->tile2,1,plane=0; flits=1
1424387.0,nlp:irq_raise,RESP_ROUTER,tile2->tile8,1,plane=0; flits=1
1424391.0,nlp:irq_raise,RESP_ROUTER,tile8->tile14,3,plane=0; flits=1
1424395.0,nlp:irq_raise,RESP_ROUTER,tile14->tile20,3,plane=0; flits=1
1424399.0,nlp:irq_raise,RESP_ROUTER,tile20->tile26,1,plane=1; flits=1
1424400.5,nlp:irq_deliver,BEGIN_REQ,tile0,,IRQ_DELIVER
1424400.5,nlp:irq_raise,END_RESP,tile26,,IRQ_RAISE
1424403.0,nlp:irq_deliver,BEGIN_RESP,tile0,,IRQ_DELIVER
1424403.0,nlp:irq_deliver,END_REQ,tile0,,IRQ_DELIVER
1424403.0,nlp:irq_deliver,REQ_LOCAL,tile0,,16 B
